,Name,Team,Position,Height,College,Number,Age,Weight,Salary
0,Avery Bradley,Boston Celtics,PG,2-Jun,Texas,0,25,180,7730337
1,Jae Crowder,Boston Celtics,SF,6-Jun,Marquette,99,25,235,6796117
2,John Holland,Boston Celtics,SG,5-Jun,Boston University,30,27,205,0
3,R.J. Hunter,Boston Celtics,SG,5-Jun,Georgia State,28,22,185,1148640
4,Jonas Jerebko,Boston Celtics,PF,10-Jun,N/A,8,29,231,5000000
5,Amir Johnson,Boston Celtics,PF,9-Jun,N/A,90,29,240,12000000
6,Jordan Mickey,Boston Celtics,PF,8-Jun,LSU,55,21,235,1170960
7,Kelly Olynyk,Boston Celtics,C,Jul-00,Gonzaga,41,25,238,2165160
8,Terry Rozier,Boston Celtics,PG,2-Jun,Louisville,12,22,190,1824360
9,Marcus Smart,Boston Celtics,PG,4-Jun,Oklahoma State,36,22,220,3431040
10,Jared Sullinger,Boston Celtics,C,9-Jun,Ohio State,7,24,260,2569260
11,Isaiah Thomas,Boston Celtics,PG,9-May,Washington,4,27,185,6912869
12,Evan Turner,Boston Celtics,SG,7-Jun,Ohio State,11,27,220,3425510
13,James Young,Boston Celtics,SG,6-Jun,Kentucky,13,20,215,1749840
14,Tyler Zeller,Boston Celtics,C,Jul-00,North Carolina,44,26,253,2616975
15,Bojan Bogdanovic,Brooklyn Nets,SG,8-Jun,N/A,44,27,216,3425510
16,Markel Brown,Brooklyn Nets,SG,3-Jun,Oklahoma State,22,24,190,845059
17,Wayne Ellington,Brooklyn Nets,SG,4-Jun,North Carolina,21,28,200,1500000
18,Rondae Hollis-Jefferson,Brooklyn Nets,SG,7-Jun,Arizona,24,21,220,1335480
19,Jarrett Jack,Brooklyn Nets,PG,3-Jun,Georgia Tech,2,32,200,6300000
20,Sergey Karasev,Brooklyn Nets,SG,7-Jun,N/A,10,22,208,1599840
21,Sean Kilpatrick,Brooklyn Nets,SG,4-Jun,Cincinnati,6,26,219,134215
22,Shane Larkin,Brooklyn Nets,PG,11-May,Miami (FL),0,23,175,1500000
23,Brook Lopez,Brooklyn Nets,C,Jul-00,Stanford,11,28,275,19689000
24,Chris McCullough,Brooklyn Nets,PF,11-Jun,Syracuse,1,21,200,1140240
25,Willie Reed,Brooklyn Nets,PF,10-Jun,Saint Louis,33,26,220,947276
26,Thomas Robinson,Brooklyn Nets,PF,10-Jun,Kansas,41,25,237,981348
27,Henry Sims,Brooklyn Nets,C,10-Jun,Georgetown,14,26,248,947276
28,Donald Sloan,Brooklyn Nets,PG,3-Jun,Texas A&M,15,28,205,947276
29,Thaddeus Young,Brooklyn Nets,PF,8-Jun,Georgia Tech,30,27,221,11235955
30,Arron Afflalo,New York Knicks,SG,5-Jun,UCLA,4,30,210,8000000
31,Lou Amundson,New York Knicks,PF,9-Jun,UNLV,17,33,220,1635476
32,Thanasis Antetokounmpo,New York Knicks,SF,7-Jun,N/A,43,23,205,30888
33,Carmelo Anthony,New York Knicks,SF,8-Jun,Syracuse,7,32,240,22875000
34,Jose Calderon,New York Knicks,PG,3-Jun,N/A,3,34,200,7402812
35,Cleanthony Early,New York Knicks,SF,8-Jun,Wichita State,11,25,210,845059
36,Langston Galloway,New York Knicks,SG,2-Jun,Saint Joseph's,2,24,200,845059
37,Jerian Grant,New York Knicks,PG,4-Jun,Notre Dame,13,23,195,1572360
38,Robin Lopez,New York Knicks,C,Jul-00,Stanford,8,28,255,12650000
39,Kyle O'Quinn,New York Knicks,PF,10-Jun,Norfolk State,9,26,250,3750000
40,Kristaps Porzingis,New York Knicks,PF,3-Jul,N/A,6,20,240,4131720
41,Kevin Seraphin,New York Knicks,C,10-Jun,N/A,1,26,278,2814000
42,Lance Thomas,New York Knicks,SF,8-Jun,Duke,42,28,235,1636842
43,Sasha Vujacic,New York Knicks,SG,7-Jun,N/A,18,32,195,947276
44,Derrick Williams,New York Knicks,PF,8-Jun,Arizona,23,25,240,4000000
45,Tony Wroten,New York Knicks,SG,6-Jun,Washington,5,23,205,167406
46,Elton Brand,Philadelphia 76ers,PF,9-Jun,Duke,42,37,254,0
47,Isaiah Canaan,Philadelphia 76ers,PG,Jun-00,Murray State,0,25,201,947276
