,Customer ID,Referred a Friend,Number of Referrals,Tenure in Months,Offer,Phone Service,Avg Monthly Long Distance Charges,Multiple Lines,Internet Service,Internet Type,Avg Monthly GB Download,Online Security,Online Backup,Device Protection Plan,Premium Tech Support,Streaming TV,Streaming Movies,Streaming Music,Unlimited Data,Contract,Paperless Billing,Payment Method,Monthly Charge,Total Regular Charges,Total Refunds,Total Extra Data Charges,Total Long Distance Charges,Gender,Age,Under 30,Senior Citizen,Married,Dependents,Number of Dependents,City,Zip Code,Latitude,Longitude,Population,Churn Value,CLTV,Churn Type,Churn Reason,Total Customer Svc Requests,Product/Service Issues Reported,Customer Satisfaction
0,8779-QRDMV,0,0,1,0,0,0.0,0,1,1,9,0,0,1,0,0,1,0,0,0,1,0,41.236,39.65,0.0,0.0,0.0,0,78,0,1,0,0,0,Los Angeles,90022,34.02381,-118.156582,68701,1,5433,Competitor,Competitor offered more data,5,0,0
1,7495-OOKFY,1,1,8,5,1,48.85,1,1,3,19,0,1,0,0,0,0,0,0,0,1,1,83.876,633.3,0.0,120.0,390.8,1,74,0,1,1,1,1,Los Angeles,90063,34.044271,-118.185237,55668,1,5302,Competitor,Competitor made better offer,5,0,0
2,1658-BYGOY,0,0,18,4,1,11.33,1,1,1,57,0,0,0,0,1,1,1,1,0,1,0,99.268,1752.55,45.61,0.0,203.94,0,71,0,1,0,1,3,Los Angeles,90065,34.108833,-118.229715,47534,1,3179,Competitor,Competitor made better offer,1,0,0
3,4598-XLKNJ,1,1,25,3,1,19.76,0,1,1,13,0,1,1,0,1,1,0,0,0,1,0,102.44,2514.5,13.43,327.0,494.0,1,78,0,1,1,1,1,Inglewood,90303,33.936291,-118.332639,27778,1,5337,Dissatisfaction,Limited range of services,1,1,2
4,4846-WHAFZ,1,1,37,3,1,6.33,1,1,3,15,0,0,0,0,0,0,0,0,0,1,0,79.56,2868.15,0.0,430.0,234.21,1,80,0,1,1,1,1,Whittier,90602,33.972119,-118.020188,26265,1,2793,Price,Extra data charges,1,0,2
5,4412-YLTKF,0,0,27,3,1,3.33,1,1,1,20,0,0,1,0,0,0,0,0,0,1,0,81.172,2135.5,0.0,427.0,89.91,1,72,0,1,0,1,1,Pico Rivera,90660,33.989524,-118.089299,63288,1,4638,Competitor,Competitor had better devices,0,0,0
6,0390-DCFDQ,1,1,1,5,1,15.28,0,1,3,33,0,0,0,0,0,0,0,0,0,1,2,73.268,70.45,0.0,0.0,15.28,1,76,0,1,1,1,2,Los Alamitos,90720,33.79499,-118.065591,21343,1,3964,Other,Don't know,7,0,0
7,3445-HXXGF,1,6,58,2,0,0.0,0,1,3,26,0,1,1,0,0,1,0,0,0,1,0,47.112,2651.2,40.95,689.0,0.0,0,66,0,1,1,0,0,Sierra Madre,91024,34.168686,-118.057505,10558,1,5444,Dissatisfaction,Service dissatisfaction,2,1,1
8,2656-FMOKZ,0,0,15,4,1,44.07,1,1,3,21,0,0,0,0,0,0,0,0,0,1,2,77.428,1145.7,0.0,241.0,661.05,1,70,0,1,0,1,2,Pasadena,91106,34.139402,-118.128658,23742,1,5717,Dissatisfaction,Limited range of services,3,0,2
9,2070-FNEXE,0,0,7,5,1,26.95,0,1,2,20,1,0,0,0,0,0,0,0,0,0,0,79.508,503.6,11.05,101.0,188.65,1,77,0,1,0,1,2,Pasadena,91107,34.159007,-118.087353,32369,1,4419,Price,Lack of affordable download/upload speed,3,0,0
